date,국고채 3년(평균),국고채 5년(평균),국고채 10년(평균)
2017-09-01,1.79,1.99,2.29
2017-10-01,2.03,2.25,2.46
2017-11-01,2.15,2.36,2.54
2017-12-01,2.1,2.3,2.47
2018-01-01,2.19,2.44,2.63
2018-02-01,2.28,2.54,2.77
2018-03-01,2.27,2.5,2.71
2018-04-01,2.19,2.44,2.66
2018-05-01,2.25,2.53,2.76
2018-06-01,2.18,2.44,2.66
2018-07-01,2.1,2.34,2.55
2018-08-01,2.02,2.24,2.46
2018-09-01,1.95,2.13,2.32
2018-10-01,2.01,2.16,2.34
2018-11-01,1.94,2.05,2.21
2018-12-01,1.83,1.89,1.99
2019-01-01,1.81,1.88,1.99
2019-02-01,1.8,1.87,1.99
2019-03-01,1.79,1.84,1.95
2019-04-01,1.74,1.77,1.89
2019-05-01,1.68,1.72,1.83
2019-06-01,1.5,1.53,1.62
2019-07-01,1.38,1.42,1.51
2019-08-01,1.16,1.2,1.25
2019-09-01,1.29,1.35,1.42
2019-10-01,1.36,1.44,1.58
2019-11-01,1.49,1.59,1.75
2019-12-01,1.39,1.48,1.65
2020-01-01,1.37,1.48,1.66
2020-02-01,1.25,1.36,1.54
2020-03-01,1.09,1.27,1.49
2020-04-01,1.02,1.26,1.5
2020-05-01,0.88,1.13,1.39
2020-06-01,0.85,1.13,1.39
2020-07-01,0.83,1.09,1.36
2020-08-01,0.83,1.09,1.37
2020-09-01,0.91,1.19,1.5
2020-10-01,0.91,1.2,1.51
2020-11-01,0.97,1.3,1.61
2020-12-01,0.97,1.32,1.68
2021-01-01,0.98,1.32,1.73
2021-02-01,1.0,1.35,1.85
2021-03-01,1.13,1.55,2.04
2021-04-01,1.14,1.58,2.04
